CCAA;ANYO;EVIDA_H;EVIDA_M;EVIDA_T;GASTO_PROTG;GASTO_TOT;EVH_ME;EVM_ME;EVT_ME;GASTO_POBT;EVH_AG;
Balears, Illes (IB);2016;80,91;85,81;83,37;1378,28;1306;2;1;1;1;1;
Canarias (CN);2016;80,11;85,48;82,78;1425,94;1325;1;1;1;1;1;
Cantabria (CB);2016;80,33;86,64;83,52;1487,62;1449;1;2;2;2;2;
Castilla - La Mancha (CM);2016;80,94;86,44;83,64;1389,16;1315;2;2;2;1;1;
Castilla y León (CL);2016;81,32;87,37;84,30;1523,16;1474;2;2;2;2;2;
Cataluña (CT);2016;80,90;86,69;83,86;1417,00;1353;2;2;2;1;1;
Comunitat Valenciana (VC);2016;80,30;85,69;83,01;1411,08;1325;1;1;1;1;1;
Extremadura (EX);2016;79,81;85,51;82,62;1591,68;1552;1;1;1;2;2;
Galicia (GA);2016;79,74;86,28;83,02;1461,27;1424;1;1;1;1;2;
La Rioja (RI);2016;81,46;87,19;84,32;1404,98;1393;2;2;2;1;1;
Madrid, Comunidad de (MD);2016;82,24;87,83;85,22;1230,87;1223;2;2;2;1;1;
Murcia, Región de (MC);2016;80,46;85,29;82,89;1552,03;1494;1;1;1;2;2;
Navarra, C. Foral de (NC);2016;81,33;86,96;84,15;1584,84;1537;2;2;2;2;2;
País Vasco (PV);2016;80,67;87,05;83,93;1660,29;1668;2;2;2;2;2;
Andalucía (AN);2017;79,43;84,70;82,08;1199,24;1155;1;1;1;1;1;
Aragón (AR);2017;80,61;86,46;83,52;1582,94;1557;2;2;2;2;2;
Asturias, Principado de (AS);2017;79,69;85,83;82,84;1640,19;1633;1;1;1;2;2;
Balears, Illes (IB);2017;80,59;85,64;83,11;1440,70;1373;1;1;1;1;1;
Canarias (CN);2017;80,53;85,55;83,04;1454,32;1356;1;1;1;1;1;
Cantabria (CB);2017;80,54;86,63;83,63;1503,81;1463;1;2;2;2;2;
Castilla - La Mancha (CM);2017;80,70;85,79;83,20;1447,19;1374;2;1;1;1;1;
Castilla y León (CL);2017;81,42;87,03;84,20;1572,55;1523;2;2;2;2;2;
Cataluña (CT);2017;80,76;86,41;83,64;1443,11;1384;2;2;2;1;1;
Comunitat Valenciana (VC);2017;80,16;85,43;82,81;1440,20;1358;1;1;1;1;1;
Extremadura (EX);2017;79,67;85,27;82,42;1626,94;1589;1;1;1;2;2;
Galicia (GA);2017;80,39;86,32;83,40;1484,98;1448;1;2;2;1;1;
La Rioja (RI);2017;81,21;86,85;84,01;1434,45;1413;2;2;2;1;1;
Madrid, Comunidad de (MD);2017;82,30;87,51;85,08;1258,89;1252;2;2;2;1;1;
Murcia, Región de (MC);2017;79,98;85,26;82,61;1591,37;1537;1;1;1;2;2;
Navarra, C. Foral de (NC);2017;81,28;86,97;84,13;1651,05;1601;2;2;2;2;2;
País Vasco (PV);2017;80,87;86,99;84,00;1701,26;1707;2;2;2;2;2;
Andalucía (AN);2018;79,23;84,64;81,94;1264,66;1214;1;1;1;1;1;
Aragón (AR);2018;80,86;86,58;83,71;1620,35;1601;2;2;2;2;2;
Asturias, Principado de (AS);2018;79,68;85,79;82,80;1683,67;1677;1;1;1;2;2;
Balears, Illes (IB);2018;81,01;86,04;83,53;1477,40;1421;2;1;2;1;1;
Canarias (CN);2018;79,94;85,16;82,53;1530,02;1431;1;1;1;1;1;
Cantabria (CB);2018;80,38;86,65;83,54;1588,53;1542;1;2;2;2;2;
Castilla - La Mancha (CM);2018;81,15;86,26;83,67;1517,70;1443;2;2;2;1;1;
Castilla y León (CL);2018;81,50;86,94;84,20;1628,89;1578;2;2;2;2;2;
Cataluña (CT);2018;80,75;86,48;83,67;1492,08;1422;2;2;2;1;1;
Comunitat Valenciana (VC);2018;80,15;85,41;82,79;1486,31;1404;1;1;1;1;1;
Extremadura (EX);2018;79,83;85,65;82,68;1663,26;1623;1;1;1;2;2;
Galicia (GA);2018;80,24;86,38;83,34;1529,94;1492;1;2;1;1;2;
La Rioja (RI);2018;80,89;86,81;83,81;1497,75;1467;2;2;2;1;1;
Madrid, Comunidad de (MD);2018;82,49;88,01;85,43;1289,26;1278;2;2;2;1;1;
Murcia, Región de (MC);2018;80,22;85,45;82,84;1611,70;1563;1;1;1;2;2;
Navarra, C. Foral de (NC);2018;81,52;87,22;84,38;1688,49;1645;2;2;2;2;2;
País Vasco (PV);2018;81,04;86,89;84,05;1744,13;1748;2;2;2;2;2;
Andalucía (AN);2019;79,76;85,25;82,52;1321,14;1264;1;1;1;1;1;
Aragón (AR);2019;81,44;87,07;84,26;1705,42;1677;2;2;2;2;2;
Asturias, Principado de (AS);2019;79,98;86,09;83,11;1781,64;1764;1;1;1;2;2;
Balears, Illes (IB);2019;81,63;86,49;84,09;1571,32;1515;2;1;2;1;1;
Canarias (CN);2019;80,85;86,05;83,44;1621,15;1516;1;1;1;1;1;
